id_knjige,nagrada
22,Milwaukee County Teen Book Award Nominee 

22,Children's Choice Book Award Nominee for Teen Choice Book of the Year 

22,Sakura Medal

22,New Mexico Land of Enchantment Award for Young Adult 

22,Eliot Rosewater Indiana High School Book Award 

22,California Young Readers Medal for Young Adult 

22,Lincoln Award Nominee 

22,DABWAHA Romance Tournament for Best Young Adult Romance 

22,Goodreads Choice Award for Favorite Book and for Young Adult Fantasy &amp; Science Fiction and Nominee for Goodreads Author 

22,Green Mountain Book Award 

22,The Magnolia Award for 6-8 

22,Louisiana Teen Readers' Choice 

22,Missouri Gateway Readers Award 

22,Oklahoma Sequoyah Award for High Schol 

22,Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga 

25,NBDB National Book Award Nominee for Translation 

25,Grand Prix des lectrices de Elle for roman 

25,Premio Grinzane Cavour for Narrativa Straniera 

25,Corine Internationaler Buchpreis for Belletristik 

28,Grammy Award Nominee for Best Spoken Word Album 

29,Locus Award Nominee for Best First Novel 

29,Georgia Peach Book Award Nominee for Honor book 

29,South Carolina Book Award Nominee for Young Adult Book Award 

29,Pacific Northwest Library Association Young Reader's Choice Award 

29,Lincoln Award 

30,Hugo Award for Best Novel 

30,Nebula Award for Best Novel 

30,Nébula 

30,Margaret A. Edwards Award 

31,Orange Prize Nominee for Fiction Longlist 

31,Audie Award for Fiction 

31,Exclusive Books Boeke Prize 

31,SIBA Book Award for Fiction 

31,Indies Choice Book Award for Adult Debut 

31,Puddly Award for Fiction 

31,Lincoln Award Nominee 

31,Grand Prix des lectrices de Elle for roman 

31,Goodreads Choice Award for Fiction 

31,Townsend Prize for Fiction 

33,Mythopoeic Fantasy Award for Children's Literature 

33,British Book Award for Children's Book of the Year 

33,Prijs van de Nederlandse Kinderjury for 6-9 jaar en 10-12 jaar 

33,American Booksellers Book Of The Year  Award for Children 

33,Audie Award 

33,West Australian Young Readers' Book Award 

33,South Carolina Book Award for Junior Book Award 

33,Grand Canyon Reader Award for Teen Book 

33,Charlotte Award 

33,Nene Award 

33,Massachusetts Children's Book Award 

33,Colorado Blue Spruce Young Adult Book Award 

33,Blue Hen Book Award for Chapter Book 

33,Nevada Young Readers' Award for Young Reader Category 

33,Golden Archer Award for Middle/Junior High 

33,Indian Paintbrush Book Award 

33,Hotze de Roosprijs 

33,Nestlé Smarties Book Prize for 9–11 years 

33,Eliot Rosewater Indiana High School Book Award 

33,Kinderboekwinkelprijs 

33,Parenting Book of the Year Award 

33,North East Teenage Book Award 

33,Specsavers National Book Award for Children's Book of the Year 

33,Washington State Sasquatch Award 

33,Literaturpreis der Jury der jungen Leser for Kinderbuch 

33,Carnegie Medal Nominee 

33,Rebecca Caudill Young Readers' Book Award 

33,Premi Protagonista Jove for Categoria 12-13 anys 

34,Retro Hugo Award for Best Novella 

35,Newbery Medal Nominee 

35,George C. Stone Center for Children's Books Recognition of Merit Award 

35,Audie Award Nominee for Audiobook of the Year and Middle Grade 

35,Massachusetts Children's Book Award 

35,Laura Ingalls Wilder Award 

36,New York Drama Critics' Circle Award for Best American Play 

37,Arthur C. Clarke Award Nominee 

37,Orange Prize Nominee for Fiction Longlist 

37,British Book Award 

37,John W. Campbell Memorial Award Nominee for Best Science Fiction Novel 

37,Exclusive Books Boeke Prize 

37,ALA Alex Award 

40,Premio Internacional de Novela Rómulo Gallegos 

40,Prix du Meilleur Livre Étranger for Roman 

41,Teen Read Award Nominee for Best All-Time-Fave 

41,National Book Award Finalist for Fiction 

43,Young Readers' Choice Award 

43,Books I Loved Best Yearly 

43,South Carolina Book Award for Junior Book Award 

43,Grand Canyon Reader Award for Tween Book 

43,Nene Award 

43,Massachusetts Children's Book Award 

43,Pennsylvania Young Readers' Choice Award for Grades 6-8 

43,Rhode Island Teen Book Award Nominee 

43,Sunshine State Young Readers Award for Grades 6-8 

43,Pacific Northwest Library Association Young Reader's Choice Award for Intermediate 

43,Iowa Teen Award 

43,Lincoln Award Nominee 

43,Oklahoma Sequoyah Award for YA 

43,Rebecca Caudill Young Readers' Book Award 

44,Lewis Carroll Shelf Award 

45,British Book Award for Best Read of the Year 

45,Book Sense Book of the Year Award for Adult Fiction 

45,California Book Award for Fiction 

45,Exclusive Books Boeke Prize Nominee 

45,Lincoln Award Nominee 

46,Newbery Medal 

46,Dorothy Canfield Fisher Children's Book Award Nominee 

46,Oklahoma Sequoyah Award 

46,Margaret A. Edwards Award 

47,Nebula Award Nominee for Best Novel 

47,Locus Award for Best Fantasy Novel 

47,World Fantasy Award Nominee for Best Novel 

47,Premio Ignotus for Novela extranjera 

49,Bram Stoker Award for Best First Novel 

49,Orange Prize Nominee for Fiction Longlist 

49,British Book Award for Best Read of the Year 

49,Book Sense Book of the Year Award for Adult Fiction 

49,California Book Award for First Fiction 

49,South Carolina Book Award for Young Adult Book Award 

49,Chicago Tribune Heartland Prize for Fiction 

49,Iowa High School Book Award 

49,Puddly Award for Fiction 

49,Eliot Rosewater Indiana High School Book Award 

49,Lincoln Award Nominee 

49,Missouri Gateway Readers Award 

50,Books I Loved Best Yearly 

50,Margaret A. Edwards Award 

51,Caldecott Medal 

51,Lewis Carroll Shelf Award

51,Indies Choice Book Award for Picture Book Hall of Fame 

54,Booker Prize 

54,Bollinger Everyman Wodehouse Prize Nominee for Comic Fiction 

54,Exclusive Books Boeke Prize 

54,Governor General's Literary Awards / Prix littéraires du Gouverneur général Nominee for Fiction 

54,Lincoln Award Nominee 

54,Deutscher Bücherpreis for Belletristik 

54,CBC Canada Reads Nominee 

54,Luisterboek Award Nominee 

54,QWF 

54,Asian/Pacific American Award for Literature for Adult Fiction 

56,Book Sense Book of the Year Award for Adult Fiction 

56,ALA Alex Award 

56,The Quill Award Nominee for General Fiction 

56,LovelyBooks Leserpreis Nominee for Allgemeine Literatur 

57,National Book Award Finalist for Fiction 

58,Hugo Award Nominee for Best SF Novel 

58,Nebula Award Nominee for Best Novel 

58,National Book Award Finalist for Fiction 

58,Chicago Publishers' Award 

60,Borders Original Voices Award for Fiction 

60,Humo's Gouden Bladwijzer 

60,Exclusive Books Boeke Prize 

60,ALA Alex Award 

60,Puddly Award for Fiction 

60,Lincoln Award Nominee 

60,Prix des libraires du Québec for Lauréats hors Québec 

60,LovelyBooks Leserpreis Nominee for Allgemeine Literatur 

61,Booker Prize Nominee 

61,Nebula Award Nominee for Best Novel 

61,Locus Award Nominee for Best SF Novel 

61,Arthur C. Clarke Award 

61,Audie Award for Fiction 

61,Los Angeles Times Book Prize for Fiction 

61,Prometheus Award Nominee for Best Novel 

61,James Tiptree Jr. Award Nominee for Retrospective 

61,Governor General's Literary Awards / Prix littéraires du Gouverneur général for Fiction 

61,SF Chronicle Award Nominee for Novel 

61,Commonwealth Writers' Prize Nominee for Best Book in Caribbean and Canada 

61,CBC Canada Reads Nominee 

61,Metų verstinė knyga Nominee 

62,Newbery Medal 

62,Mythopoeic Fantasy Award Nominee for Children's Literature 

62,Golden Duck Award for Young Adult 

62,Garden State Book Award for Teen Fiction Grades 6-8 

62,Buckeye Children's Book Award for Grade 6-8 

62,Grand Canyon Reader Award for Teen Book 

62,Maryland Black-Eyed Susan Book Award for Grade 6-9 

62,Golden Sower Award for Young Adult 

62,Pennsylvania Young Readers' Choice Award for Grades 3-8 

62,Soaring Eagle Book Award Nominee 

62,Pacific Northwest Library Association Young Reader's Choice Award for Senior 

62,Boston Globe-Horn Book Award Nominee for Fiction 

62,New Mexico Land of Enchantment Award 

62,Eliot Rosewater Indiana High School Book Award 

62,William Allen White Children's Book Award 

62,Wyoming Indian Paintbrush Nominee 

62,NSK Neustadt Prize for Children's Literature Nominee 

62,Oklahoma Sequoyah Award for YA 

62,Rebecca Caudill Young Readers' Book Award 

62,Hea Lasteraamat 

62,Premi Protagonista Jove for Categoria 13-14 anys 

62,Margaret A. Edwards Award 

63,National Book Award Finalist for Fiction 

64,Hugo Award for Best Novel 

64,Nebula Award for Best Novel 

64,Seiun Award 星雲賞 for Best Foreign Novel 

66,Locus Award Nominee for Best SF Novel 

66,World Fantasy Award Nominee for Best Novel 

66,Gandalf Award Nominee 

66,Balrog Award Nominee for Best Novel 

68,Mythopoeic Fantasy Award Nominee 

68,Guardian Children's Fiction Prize 

68,Audie Award Nominee for Best Male Narrator 

68,Boston Globe-Horn Book Award 

68,California Young Readers Medal for Young Adult 

68,Carnegie Medal 

69,Audie Award for Classic 

69,Премія імені Максима Рильського 

71,Locus Award Nominee for Best Young Adult Novel 

71,Odyssey Award Nominee 

71,Audie Award 

71,Books I Loved Best Yearly 

71,Teen Read Award Nominee for Best All-Time-Fave 

71,Puddly Award for Fiction 

71,Andre Norton Award 

71,Carnegie Medal Nominee 

74,PEN Translation Prize for Richard Pevear &amp; Larissa Volokhonsky 

75,RITA Award by Romance Writers of America for Best Romance of 1991 &amp; nominee for Best First Book &amp; nominee for Single Title Historical Romance 

75,Puddly Award for Romance 

76,Odyssey Award Nominee 

76,Prijs van de Nederlandse Kinderjury for 10-12 jaar en 13-16 jaar 

76,Audie Award for Children's Titles Ages 8-12 

76,Books I Loved Best Yearly 

76,West Australian Young Readers' Book Award 

76,Blue Peter Book Award for Voter's Award - Book that Made Me Laugh the Loudest 

76,Red House Children's Book Award 

76,Maryland Black-Eyed Susan Book Award for Book Award 

76,Massachusetts Children's Book Award 

76,Nevada Young Readers' Award for Intermediate Category  

76,Beehive Book Award for Children's Fiction 

76,Indian Paintbrush Book Award 

76,Bluestem Book Award Nominee 

76,Virginia Reader's Choice for Elementary 

76,Rebecca Caudill Young Readers' Book Award 

77,Audie Award for Multi-Voiced Performance 

77,Pennsylvania Young Readers' Choice Award for Young Adults 

77,ALA Alex Award 

77,Lincoln Award 

77,Green Mountain Book Award 

77,Missouri Gateway Readers Award Nominee 

78,Publieksprijs voor het Nederlandse Boek Nominee 

79,Barry Award for Mystery/Crime Novel Of The Decade 

79,Macavity Award for Best First Mystery Novel 

79,Anthony Award for Best First Novel 

79,Glass Key Award 

79,CWA International Dagger Nominee 

79,Galaxy British Book Awards for Crime Thriller of the Year 

79,Exclusive Books Boeke Prize 

79,Strand Critics Award  Nominee for Best First Novel 

80,National Book Award for Fiction 

80,Anthony Award for Best Novel of the Century 

81,Prometheus Hall of Fame Award 

81,Locus Award Nominee for All-Time Best Science Fiction Novel 

82,Pulitzer Prize for Fiction 

82,National Book Award for Fiction 

82,National Book Critics Circle Award Nominee for Fiction 

82,Townsend Prize for Fiction 

83,Audie Award for Classic 

84,Prometheus Hall of Fame Award 

85,Pulitzer Prize for Fiction 

85,Locus Award Nominee for Best SF Novel 

85,James Tait Black Memorial Prize for Fiction 

85,The Quill Award for General Fiction 

85,Puddly Award for Fiction 

85,National Book Critics Circle Award Nominee for Fiction 

85,Believer Book Award 

85,Tähtivaeltaja Award 

85,Cena Akademie SFFH for Kniha roku 

85,Prix des libraires du Québec for Lauréats hors Québec 

85,International Dublin Literary Award Nominee 

85,The Rooster -- The Morning News Tournament of Books 

87,Pulitzer Prize for Biography or Autobiography 

87,American Booksellers Book Of The Year  Award for Adult Trade 

87,"Audie Award for Nonfiction, Abridged "

87,Los Angeles Times Book Prize for Biography 

87,Exclusive Books Boeke Prize 

87,National Book Critics Circle Award for Biography/Autobiography 

87,Pulitzer Prize

87,Pulitzer Prize

90,Pulitzer Prize Nominee for Fiction 

90,Orange Prize Nominee for Fiction Shortlist 

90,Book Sense Book of the Year Award for Adult 

90,PEN/Faulkner Award for Fiction Nominee 

90,Independent Publisher Book Award 

90,Exclusive Books Boeke Prize 

90,Puddly Award for Novel 

90,International Dublin Literary Award Nominee 

91,Guardian Children's Fiction Prize 

91,Audie Award for Children's Titles 

91,Lincoln Award Nominee 

91,Carnegie Medal 

92,Will Eisner Comic Industry Awards Nominee for Best Adaptation from Another Medium &amp; Best Humor Publication 

92,Βραβείο Λογοτεχνικής Μετάφρασης ΕΚΕΜΕΛ for Ισπανόφωνη Λογοτεχνία 

92,Premio de traducción literaria Valle Inclán for John Rutherford 

93,Bram Stoker Award for Best Work for Young Readers 

93,Hugo Award Nominee for Best Novel 

93,Locus Award for Best Fantasy Novel 

93,Whitbread Award for Children's Book of the Year 

93,Mythopoeic Fantasy Award for Children's Literature 

93,Books I Loved Best Yearly 

93,Colorado Blue Spruce Young Adult Book Award 

93,Maine Student Book Award 

93,Golden Archer Award for Intermediate 

93,Indian Paintbrush Book Award 

93,Soaring Eagle Book Award 

93,Hotze de Roosprijs 

93,Nestlé Smarties Book Prize for 9–11 years 

94,Prometheus Hall of Fame Award 

94,National Book Award Finalist for Fiction 

95,Pulitzer Prize for Fiction 

95,Premio Bancarella 

95,National Book Award Finalist for Fiction 

99,British Fantasy Award Nominee for Best Novel 

